time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-06 00:00:00+00:00,13,9,39,11
2021-06-07 00:00:00+00:00,15,10,94,22
2021-06-08 00:00:00+00:00,12,8,26,14
2021-06-09 00:00:00+00:00,15,10,48,15
2021-06-10 00:00:00+00:00,13,9,39,17
2021-06-11 00:00:00+00:00,12,8,50,13
2021-06-12 00:00:00+00:00,14,10,21,11
2021-06-13 00:00:00+00:00,15,8,26,9
2021-06-14 00:00:00+00:00,12,8,43,17
2021-06-15 00:00:00+00:00,11,7,15,5
2021-06-16 00:00:00+00:00,13,9,39,13
2021-06-17 00:00:00+00:00,12,8,19,8
2021-06-18 00:00:00+00:00,14,9,27,13
2021-06-19 00:00:00+00:00,15,8,15,7
2021-06-20 00:00:00+00:00,14,9,4,3
2021-06-21 00:00:00+00:00,15,9,34,12
2021-06-22 00:00:00+00:00,15,9,36,11
2021-06-23 00:00:00+00:00,15,9,92,10
2021-06-24 00:00:00+00:00,12,8,74,17
2021-06-25 00:00:00+00:00,14,10,41,19
2021-06-26 00:00:00+00:00,19,12,84,13
2021-06-27 00:00:00+00:00,15,9,9,7
2021-06-28 00:00:00+00:00,14,10,38,16
2021-06-29 00:00:00+00:00,13,9,56,12
2021-06-30 00:00:00+00:00,15,11,54,16
2021-07-01 00:00:00+00:00,13,8,25,11
2021-07-02 00:00:00+00:00,15,10,16,8
2021-07-03 00:00:00+00:00,15,9,7,4
2021-07-04 00:00:00+00:00,16,8,28,10
2021-07-05 00:00:00+00:00,13,8,83,7
2021-07-06 00:00:00+00:00,15,11,98,18
2021-07-07 00:00:00+00:00,15,9,30,10
2021-07-08 00:00:00+00:00,12,7,49,14
2021-07-09 00:00:00+00:00,13,8,33,12
2021-07-10 00:00:00+00:00,14,8,23,4
2021-07-11 00:00:00+00:00,15,10,9,4
2021-07-12 00:00:00+00:00,12,7,13,4
2021-07-13 00:00:00+00:00,14,9,29,13
2021-07-14 00:00:00+00:00,12,8,27,13
2021-07-15 00:00:00+00:00,13,9,67,16
2021-07-16 00:00:00+00:00,13,9,21,10
2021-07-17 00:00:00+00:00,13,8,6,4
2021-07-18 00:00:00+00:00,15,10,14,6
2021-07-19 00:00:00+00:00,13,8,23,8
2021-07-20 00:00:00+00:00,16,9,22,8
2021-07-21 00:00:00+00:00,14,10,17,6
2021-07-22 00:00:00+00:00,16,10,43,12
2021-07-23 00:00:00+00:00,18,9,5,3
2021-07-24 00:00:00+00:00,14,9,24,6
2021-07-25 00:00:00+00:00,13,9,22,9
2021-07-26 00:00:00+00:00,13,8,53,6
2021-07-27 00:00:00+00:00,29,10,51,10
2021-07-28 00:00:00+00:00,15,10,141,11
2021-07-29 00:00:00+00:00,11,7,56,9
2021-07-30 00:00:00+00:00,11,7,26,10
2021-07-31 00:00:00+00:00,13,8,26,5
2021-08-01 00:00:00+00:00,13,8,40,11
2021-08-02 00:00:00+00:00,12,7,17,6
2021-08-03 00:00:00+00:00,13,8,90,11
2021-08-04 00:00:00+00:00,12,8,18,4
2021-08-05 00:00:00+00:00,13,9,76,11
